series,time,value
Z,4:46:33,8530
Z,4:46:33,7721
Z,4:46:33,8708
Z,4:46:33,10591
Z,4:46:33,12525
Z,4:46:33,14332
Z,4:46:33,16054
Z,4:46:33,17553
Z,4:46:33,18556
Z,4:46:33,19589
Z,4:46:33,20861
Z,4:46:33,22147
Z,4:46:33,23154
Z,4:46:33,23914
Z,4:46:33,24520
Z,4:46:33,24726
Z,4:46:33,24685
Z,4:46:33,24744
Z,4:46:33,24245
Z,4:46:33,22619
Z,4:46:33,20917
Z,4:46:33,19448
Z,4:46:33,17905
Z,4:46:33,16913
Z,4:46:33,16210
Z,4:46:33,16031
Z,4:46:33,16112
Z,4:46:33,15529
Z,4:46:33,14428
Z,4:46:33,13382
Z,4:46:33,12691
Z,4:46:33,12290
Z,4:46:33,12722
Z,4:46:33,13319
Z,4:46:33,13610
Z,4:46:33,14247
Z,4:46:33,15201
Z,4:46:33,16201
Z,4:46:33,16676
Z,4:46:33,17034
Z,4:46:33,17648
Z,4:46:33,18079
Z,4:46:33,18882
Z,4:46:33,20110
Z,4:46:33,20473
Z,4:46:33,18762
Z,4:46:33,16317
Z,4:46:33,13616
Z,4:46:33,10776
Z,4:46:33,8600
Z,4:46:33,6997
Z,4:46:33,7969
Z,4:46:33,10608
Z,4:46:33,12085
Z,4:46:33,12532
Z,4:46:33,14456
Z,4:46:33,17148
Z,4:46:33,17577
Z,4:46:33,15740
Z,4:46:33,11975
Z,4:46:33,8110
Z,4:46:33,6212
Z,4:46:33,6241
Z,4:46:33,6860
Z,4:46:33,8203
Z,4:46:33,11131
Z,4:46:33,14795
Z,4:46:33,18542
Z,4:46:33,21492
Z,4:46:33,22559
Z,4:46:34,22200
Z,4:46:34,22465
Z,4:46:34,23220
Z,4:46:34,23406
Z,4:46:34,24480
Z,4:46:34,26265
Z,4:46:34,26914
Z,4:46:34,25596
Z,4:46:34,23829
Z,4:46:34,23151
Z,4:46:34,21764
Z,4:46:34,21141
Z,4:46:34,20286
Z,4:46:34,18011
Z,4:46:34,17723
Z,4:46:34,18550
Z,4:46:34,18270
Z,4:46:34,14980
Z,4:46:34,14421
Z,4:46:34,8166
Z,4:46:34,4097
Z,4:46:34,18109
Z,4:46:34,27380
Z,4:46:34,20961
Z,4:46:34,12445
Z,4:46:34,14880
Z,4:46:34,18274
Z,4:46:34,15968
Z,4:46:34,13234
Z,4:46:34,11516
Z,4:46:34,10849
Z,4:46:34,9250
Z,4:46:34,10541
Z,4:46:34,14497
Z,4:46:34,18318
Z,4:46:34,20158
Z,4:46:34,22577
Z,4:46:34,23614
Z,4:46:34,21120
Z,4:46:34,24070
Z,4:46:34,31121
Z,4:46:34,21074
Z,4:46:34,10666
Z,4:46:34,23082
Z,4:46:34,25288
Z,4:46:34,14519
Z,4:46:34,16756
Z,4:46:34,25602
Z,4:46:34,14389
Z,4:46:34,8182
Z,4:46:34,21864
Z,4:46:34,16697
Z,4:46:34,10385
Z,4:46:34,14734
Z,4:46:34,10198
Z,4:46:34,7804
Z,4:46:34,14797
Z,4:46:34,14624
Z,4:46:34,8743
Z,4:46:34,16109
Z,4:46:34,18410
Z,4:46:34,10667
Z,4:46:34,17124
Z,4:46:34,23775
Z,4:46:34,13494
Z,4:46:34,8800
Z,4:46:34,22435
Z,4:46:34,25052
Z,4:46:34,10714
Z,4:46:34,12220
Z,4:46:34,27841
Z,4:46:34,23902
Z,4:46:34,9981
Z,4:46:34,14721
Z,4:46:34,26733
Z,4:46:34,19405
Z,4:46:34,5971
Z,4:46:34,13514
Z,4:46:34,26887
Z,4:46:34,19307
Z,4:46:34,6300
Z,4:46:34,12543
Z,4:46:34,22189
Z,4:46:34,15592
Z,4:46:34,3442
Z,4:46:34,13079
Z,4:46:34,26919
Z,4:46:34,25517
Z,4:46:34,18413
Z,4:46:34,16222
Z,4:46:34,25932
Z,4:46:34,28689
Z,4:46:34,16810
Z,4:46:34,10714
Z,4:46:34,17272
Z,4:46:34,14894
Z,4:46:34,8812
Z,4:46:34,8713
Z,4:46:34,7903
Z,4:46:34,13161
Z,4:46:35,18457
Z,4:46:35,12157
Z,4:46:35,4533
Z,4:46:35,13921
Z,4:46:35,27036
Z,4:46:35,21680
Z,4:46:35,9357
Z,4:46:35,18305
Z,4:46:35,34926
Z,4:46:35,28182
Z,4:46:35,14512
Z,4:46:35,23794
Z,4:46:35,32735
Z,4:46:35,19151
Z,4:46:35,18872
Z,4:46:35,21633
Z,4:46:35,21138
Z,4:46:35,16323
Z,4:46:35,13237
Z,4:46:35,14278
Z,4:46:35,9396
Z,4:46:35,9603
Z,4:46:35,8901
Z,4:46:35,12836
Z,4:46:35,10999
Z,4:46:35,9538
Z,4:46:35,8917
Z,4:46:35,9039
Z,4:46:35,9276
Z,4:46:35,11564
Z,4:46:35,14499
Z,4:46:35,15033
Z,4:46:35,16163
Z,4:46:35,16169
Z,4:46:35,17800
Z,4:46:35,18222
Z,4:46:35,19696
Z,4:46:35,21049
Z,4:46:35,22989
Z,4:46:35,23311
Z,4:46:35,23744
Z,4:46:35,24274
Z,4:46:35,23394
Z,4:46:35,22093
Z,4:46:35,20796
Z,4:46:35,19968
Z,4:46:35,18654
Z,4:46:35,16893
Z,4:46:35,15647
Z,4:46:35,14428
Z,4:46:35,13487
Z,4:46:35,12913
Z,4:46:35,12085
Z,4:46:35,11341
Z,4:46:35,10919
Z,4:46:35,10808
Z,4:46:35,10870
Z,4:46:35,11027
Z,4:46:35,11090
Z,4:46:35,11466
Z,4:46:35,12172
Z,4:46:35,12513
Z,4:46:35,12750
Z,4:46:35,13188
Z,4:46:35,14180
Z,4:46:35,15420
Z,4:46:35,16475
Z,4:46:35,17585
Z,4:46:35,18582
Z,4:46:35,19669
Z,4:46:35,20898
Z,4:46:35,22595
Z,4:46:35,24496
Z,4:46:35,26048
Z,4:46:35,27346
Z,4:46:35,28008
Z,4:46:35,28075
Z,4:46:35,27791
Z,4:46:35,27488
Z,4:46:35,26715
Z,4:46:35,24616
Z,4:46:35,21792
Z,4:46:35,19616
Z,4:46:35,18573
Z,4:46:35,17867
Z,4:46:35,16047
Z,4:46:35,13782
Z,4:46:35,11692
Z,4:46:35,10386
Z,4:46:35,9252
Z,4:46:35,6776
Z,4:46:35,7083
Z,4:46:35,11059
Z,4:46:35,13657
Z,4:46:35,14157
Z,4:46:35,16865
Z,4:46:35,20556
Z,4:46:35,21115
Z,4:46:35,19231
Z,4:46:35,16073
Z,4:46:36,12998
Z,4:46:36,10578
Z,4:46:36,8174
Z,4:46:36,5981
Z,4:46:36,5299
Z,4:46:36,6845
Z,4:46:36,10110
Z,4:46:36,14323
Z,4:46:36,18529
Z,4:46:36,21901
Z,4:46:36,23696
Z,4:46:36,24941
Z,4:46:36,26433
Z,4:46:36,27368
Z,4:46:36,27385
Z,4:46:36,26949
Z,4:46:36,26478
Z,4:46:36,25537
Z,4:46:36,24042
Z,4:46:36,22389
Z,4:46:36,20803
Z,4:46:36,19167
Z,4:46:36,17319
Z,4:46:36,15408
Z,4:46:36,13766
Z,4:46:36,12595
Z,4:46:36,11335
Z,4:46:36,10269
Z,4:46:36,9765
Z,4:46:36,8233
Z,4:46:36,5776
Z,4:46:36,5402
Z,4:46:36,7637
Z,4:46:36,8967
Z,4:46:36,8313
Z,4:46:36,8233
Z,4:46:36,9883
Z,4:46:36,12478
Z,4:46:36,14669
Z,4:46:36,15825
Z,4:46:36,15862
Z,4:46:36,15359
Z,4:46:36,15858
Z,4:46:36,17471
Z,4:46:36,19591
Z,4:46:36,21594
Z,4:46:36,22992
Z,4:46:36,23956
Z,4:46:36,24077
Z,4:46:36,23491
Z,4:46:36,22913
Z,4:46:36,22644
Z,4:46:36,22036
Z,4:46:36,20867
Z,4:46:36,19976
Z,4:46:36,19691
Z,4:46:36,19491
Z,4:46:36,18546
Z,4:46:36,17943
Z,4:46:36,17998
Z,4:46:36,17738
Z,4:46:36,17091
Z,4:46:36,16321
Z,4:46:36,15468
Z,4:46:36,14299
Z,4:46:36,13537
Z,4:46:36,13252
Z,4:46:36,13314
Z,4:46:36,13138
Z,4:46:36,12606
Z,4:46:36,12933
Z,4:46:36,13545
Z,4:46:36,14195
Z,4:46:36,15163
Z,4:46:36,16131
Z,4:46:36,17329
Z,4:46:36,18606
Z,4:46:36,19521
Z,4:46:36,19942
Z,4:46:36,19824
Z,4:46:36,18703
Z,4:46:36,16914
Z,4:46:36,15598
Z,4:46:36,15054
Z,4:46:36,14721
Z,4:46:36,13378
Z,4:46:36,11517
Z,4:46:36,9429
Z,4:46:36,7188
Z,4:46:36,6452
Z,4:46:36,7235
Z,4:46:36,9724
Z,4:46:36,13896
Z,4:46:36,17094
Z,4:46:36,18281
Z,4:46:36,20147
Z,4:46:36,22634
